A,B,C,build_time_s,sample_time_s,energy,energy_with_offset,feasible,total_cost,peak_net_load
0.5,0.5,5000.0,0.046007394790649414,292.15982961654663,-20296.874592580833,66003.83490106529,True,55.56873371475033,3.1845900033483465
0.5,0.5,50000.0,0.009998798370361328,289.24973225593567,-155298.43561699986,66002.27387664618,True,55.31305798782368,3.1845900033483465
0.5,0.5,100000.0,0.01100015640258789,285.96956729888916,-305296.8745931089,66003.8349005375,True,55.56873371475033,3.1845900033483465
0.5,1.5,5000.0,0.009999752044677734,288.08495330810547,-35952.033793149516,192950.09468778875,False,0.0,2.6277917710780745
0.5,1.5,50000.0,0.009038448333740234,287.7157597541809,-165908.03702174127,197994.09145919728,True,55.312450394593505,3.1845900033483465
0.5,1.5,100000.0,0.008965253829956055,11112.96004652977,-315881.105652228,198021.0228287108,True,55.96025432157842,3.1845900033483465
0.5,3.0,5000.0,0.008997440338134766,287.6358046531677,-67537.4369539516,375266.8200079248,False,0.0,2.6277917710780745
0.5,3.0,50000.0,0.011039018630981445,289.8984897136688,-181920.16939071566,395884.0875711611,True,55.56873371475033,3.1845900033483465
0.5,3.0,100000.0,0.01199793815612793,287.6890358924866,-331928.89634242654,395875.36061945057,True,55.31305798782368,3.1845900033483465
1.0,0.5,5000.0,0.008001327514648438,289.11335277557373,-20291.389098324813,66009.32039532131,True,55.69600767798642,3.1845900033483465
1.0,0.5,50000.0,0.009959936141967773,286.49482464790344,-155269.09022666514,66031.61926698091,True,55.56873371475033,3.1845900033483465
1.0,0.5,100000.0,0.009001493453979492,11108.159390687943,-304929.25186252594,66371.45763112046,True,53.617387496101486,3.1845900033483465
1.0,1.5,5000.0,0.010000228881835938,290.9040298461914,-35967.7099295361,192934.41855140217,False,0.0,2.6277917710780745
1.0,1.5,50000.0,0.009995460510253906,308.7506847381592,-165855.81221197546,198046.3162689631,True,55.18578402458759,3.1845900033483465
1.0,1.5,100000.0,0.008994817733764648,343.3230400085449,-315985.5593074113,197916.56917352747,True,55.69600767798642,3.1845900033483465
1.0,3.0,5000.0,0.010006427764892578,313.46636843681335,-68027.63993899524,374776.61702288117,False,0.0,2.6277917710780745
1.0,3.0,50000.0,0.00899958610534668,301.50012040138245,-180129.43529340625,397674.8216684705,True,57.407158619615046,3.1845900033483465
1.0,3.0,100000.0,0.009000539779663086,299.77584505081177,-331816.07404348254,395988.18291839457,True,55.312450394593505,3.1845900033483465
2.0,0.5,5000.0,0.008998870849609375,298.84764337539673,-19875.634474373423,66425.0750192727,True,53.617387496101486,3.1845900033483465
2.0,0.5,50000.0,0.007998466491699219,308.7344262599945,-155213.52149297297,66087.18800067308,True,55.56873371475033,3.1845900033483465
2.0,0.5,100000.0,0.00999903678894043,306.24574279785156,-304861.49049054086,66439.21900310554,True,56.8491928900442,3.1845900033483465
2.0,1.5,5000.0,0.009998559951782227,306.172593832016,-35975.445580328815,192926.68290060945,False,0.0,2.6277917710780745
2.0,1.5,50000.0,0.00899958610534668,305.7649955749512,-165825.06834612787,198077.0601348107,True,55.312450394593505,3.1845900033483465
2.0,1.5,100000.0,0.008998394012451172,307.45900678634644,-314841.3729701936,199060.75551074516,True,53.617387496101486,3.1845900033483465
2.0,3.0,5000.0,0.009963035583496094,302.08948707580566,-65985.22521181405,376819.03175006236,False,0.0,2.6277917710780745
2.0,3.0,50000.0,0.009985923767089844,294.50587606430054,-181845.92675536126,395958.3302065155,True,55.31305798782368,3.1845900033483465
2.0,3.0,100000.0,0.008002042770385742,293.16652274131775,-331711.6244239509,396092.6325379262,True,55.18578402458759,3.1845900033483465
